isin,ric,description
CH0329023102,IMR.F,AC Immune
DE0002635299,0MLC.IL,iShares STOXX Europe Select Dividend 30 (Dist)
DE0005137004,QBY.DE,q.beyond
DE0005190037,BMW.DE,BMW Vz
DE0005313704,AFX.DE,Carl Zeiss Meditec
DE0005550636,DRW3.DE,Drägerwerk Vz
DE0005677108,ELG.DE,Elmos Semiconductor
DE0005933923,EXS3.DE,iShares MDAX (Acc)
DE0005933931,EXS1.DE,iShares Core DAX (Acc)
DE0005933972,EXS2.DE,iShares TecDAX (Acc)
DE0006231004,IFX.DE,Infineon Technologies
DE0006766504,NDA.DE,Aurubis
DE0007100000,MBG.DE,Mercedes-Benz Group
DE0007297004,SZU.DE,Suedzucker
DE0007657231,VIB3.DE,Villeroy & Boch Vz
DE0007664039,VOW3.DE,Volkswagen Vz.
DE000A0F5UH1,ISPA.DE,iShares STOXX Global Select Dividend 100 (Dist)
DE000A0JC8S7,D6H.DE,Datagroup
DE000A161077,HXCK.DE,Ernst Russ
DE000A1EWWW0,ADS.DE,adidas
DE000A1TNWJ4,MPCK.DE,MPC Muenchmeyer Petersen
DE000A1X3YY0,BST.DE,Bastei Lübbe
DE000A2YN504,KTA.DE,Knaus Tabbert
DE000A2YNT30,ACT.DE,Alzchem Group
DE000A3GVKY4,RDAN.DE,Bitwise Physical Cardano
DE000BAY0017,BAYN.DE,Bayer
DE000HLAG475,HLAG.DE,Hapag-Lloyd
DE000NCA0001,NCH2.DE,Thyssenkrupp Nucera
DE000PAG9113,P911.DE,Porsche Vz
DE000PAH0038,PAH3.DE,Porsche Automobil Hldg Vz
DE000RENK730,R3NK.DE,Renk Group
DE000SHL1006,SHL.DE,Siemens Healthineers
DE000TRAT0N7,8TRA.DE,Traton Se
DE000WAF3001,WAF.DE,Siltronic
DE000WCH8881,WCH.DE,Wacker Chemie
DE000ZAL1111,ZAL.DE,Zalando
FR0000121014,MOH.DE,LVMH Moët Henn. L. Vuitton
FR0011271600,1F6.F,Fermentalg
GB00BP6S8Z30,4R0.F,Oxford Nanopore Technologies
IE00B1XNHC34,INRG.MI,iShares Global Clean Energy Transition (Dist)
IE00B5BMR087,IVV,iShares Core S&P 500 (Acc)
IE00B6R51Z18,IS0D.DE,iShares Oil & Gas Exploration & Production (Acc)
IE00B6R52036,IS0E.DE,iShares Gold Producers (Acc)
IE00BFMNHK08,XZEU.DE,Xtrackers MSCI Europe ESG UCITS ETF 1C
IE00BGHQ0G80,XMAW.DE,Xtrackers MSCI AC World Screened (Acc)
IE00BJ0KDQ92,XDWD.DE,Xtrackers MSCI World (Acc)
IE00BJQRDN15,IQSA.DE,Invesco Quantitative Strategies ESG Global Equity Multi-Factor (Acc)
IE00BKZGB098,H41J.DU,HSBC Multi-Factor Worldwide Equity (Dist)
IE00BM67HN09,XDWS.DE,Xtrackers MSCI World Consumer Staples (Acc)
IE00BMW42181,ESIH.DE,iShares MSCI Europe Health Care Sector (Acc)
IE00BYVJRP78,36B5.DE,iShares MSCI Emerging Markets SRI (Acc)
IE00BZ0PKT83,IBCZ.DE,iShares STOXX World Equity Multifactor (Acc)
JE00BYSS4X48,038.MU,NOVOCURE LTD.
LU0274209740,DBXJ.DE,Xtrackers MSCI Japan UCITS ETF 1C
LU0290357846,DBXG.DE,Xtrackers Eurozone Govt Bond 25+ (Acc)
LU0292103222,DXSE.DE,Xtrackers MSCI Europe Health Care ESG Screened UCITS ETF 1C
LU0322253906,DX2J.SG,Xtrackers MSCI Europe Small Cap (Acc)
LU0328475792,XSX6.DE,Xtrackers STOXX Europe 600 (Acc)
NL0010273215,ASME.DE,ASML Holding
SE0015988019,NJB.F,Nibe Industrier B
US0079031078,AMD.F,Advanced Micro Devices
US0846707026,BRYN.DE,Berkshire Hathaway B
US1491231015,CAT1.DE,Caterpillar
US1941621039,CPA.DE,Colgate-Palmolive
US5007541064,KHNZ.DE,Kraft Heinz
US5128073062,LAR0.F,Lam Research
US5801351017,MDO.DE,McDonald's
US67066G1040,NVD.DE,NVIDIA
US70450Y1038,2PP.DE,PayPal Holdings
